label,index,code
Adams,0,IL001
Alexander,1,IL002
Bond,2,IL003
Boone,3,IL004
Brown,4,IL005
Bureau,5,IL006
Calhoun,6,IL007
Carroll,7,IL008
Cass,8,IL009
Champaign,9,IL010
Christian,10,IL011
Clark,11,IL012
Clay,12,IL013
Clinton,13,IL014
Coles,14,IL015
Cook County Suburbs,15,IL016
Crawford,16,IL017
Cumberland,17,IL018
Dekalb,18,IL019
Dewitt,19,IL020
Douglas,20,IL021
Dupage,21,IL022
Edgar,22,IL023
Edwards,23,IL024
Effingham,24,IL025
Fayette,25,IL026
Ford,26,IL027
Franklin,27,IL028
Fulton,28,IL029
Gallatin,29,IL030
Greene,30,IL031
Grundy,31,IL032
Hamilton,32,IL033
Hancock,33,IL034
Hardin,34,IL035
Henderson,35,IL036
Henry,36,IL037
Iroquois,37,IL038
Jackson,38,IL039
Jasper,39,IL040
Jefferson,40,IL041
Jersey,41,IL042
Jo Daviess,42,IL043
Johnson,43,IL044
Kane,44,IL045
Kankakee,45,IL046
Kendall,46,IL047
Knox,47,IL048
Lake,48,IL049
Lasalle,49,IL050
Lawrence,50,IL051
Lee,51,IL052
Livingston,52,IL053
Logan,53,IL054
Mcdonough,54,IL055
Mchenry,55,IL056
Mclean,56,IL057
Macon,57,IL058
Macoupin,58,IL059
Madison,59,IL060
Marion,60,IL061
Marshall,61,IL062
Mason,62,IL063
Massac,63,IL064
Menard,64,IL065
Mercer,65,IL066
Monroe,66,IL067
Montgomery,67,IL068
Morgan,68,IL069
Moultrie,69,IL070
Ogle,70,IL071
Peoria,71,IL072
Perry,72,IL073
Piatt,73,IL074
Pike,74,IL075
Pope,75,IL076
Pulaski,76,IL077
Putnam,77,IL078
Randolph,78,IL079
Richland,79,IL080
Rock Island,80,IL081
St. Clair,81,IL082
Saline,82,IL083
Sangamon,83,IL084
Schuyler,84,IL085
Scott,85,IL086
Shelby,86,IL087
Stark,87,IL088
Stephenson,88,IL089
Tazewell,89,IL090
Union,90,IL091
Vermilion,91,IL092
Wabash,92,IL093
Warren,93,IL094
Washington,94,IL095
Wayne,95,IL096
White,96,IL097
Whiteside,97,IL098
Will,98,IL099
Williamson,99,IL100
Winnebago,100,IL101
Woodford,101,IL102
Cook Chicago,102,ILCPD
Non County Agencies,103,ILZZZ
